,address,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and_last (Mins),Sent_tnx,Received_tnx,NumberofCreated_Contracts,UniqueReceivedFrom_Addresses,UniqueSentTo_Addresses20,MinValueReceived,MaxValueReceived,AvgValueReceived5Average,MinValSent,MaxValSent,AvgValSent,MinValueSentToContract,MaxValueSentToContract,AvgValueSentToContract,TotalTransactions(IncludingTnxtoCreate_Contract),TotalEtherSent,TotalEtherReceived,TotalEtherSent_Contracts,TotalEtherBalance,TotalERC20Tnxs:,ERC20TotalEther_Received:,ERC20TotalEther_Sent:,ERC20TotalEtherSentContract:,ERC20UniqSent_Addr:,ERC20UniqRec_Addr:,ERC20UniqRecContractAddr:,ERC20AvgTimeBetweenSent_Tnx,ERC20AvgTimeBetweenRec_Tnx,ERC20AvgTimeBetweenContract_Tnx,ERC20MinVal_Rec,ERC20MaxVal_Rec,ERC20AvgVal_Rec,ERC20MinVal_Sent,ERC20MaxVal_Sent,ERC20AvgVal_Sent,ERC20UniqSentTokenName,ERC20UniqRecTokenName,ERC20MostSentTokenType,ERC20MostRecTokenType
0,0xb48bb047b9716A306A6bD3adEF52f912778B3C9F,0,4872943.5,9745887,0,3,0,3,0,3.44E+16,1.05E+18,3.50E+17,0,0,0,0,0,0,3,0,1.05E+18,0,1.52569E+16,1,0,0,1.34E+19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0xb48c99C37b7cf4AC0A1c2dcA518782C1FEB4f066,0,136003.04,3400076,0,26,0,24,0,1.35834E+15,26979671843738344395,1.04E+18,0,0,0,0,0,0,26,0,26979671843738344395,0,0,3,0,0,2.67E+18,0,0,3,0,0,14275964.5,0,0,0,0,0,0,0,0,0,0
2,0xb490cEC960B665B233d6666F8e2626d8bcAE5d44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0xb4A50B673cbfad24c3bF3E3e4cA46BE6FE7A87ea,0,228526,228526,0,2,0,2,0,4.99E+17,5E+17,2.50E+17,0,0,0,0,0,0,2,0,4.99E+17,0,580000000000000,1,0,0,1.00E+16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0xb4ede22f85C3EA3F918b88D03e6c6f67Bb30EEec,0,198830.5,397661,0,3,0,3,0,1.00E+18,2.19914E+18,7.33E+17,0,0,0,0,0,0,3,0,2.19914E+18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0xb4ff44b3f2aD84C539Ea1c94D9bB808ee83326e9,0,2943.192308,76523,0,27,0,27,0,1.44123E+15,4.71709E+19,1.75E+18,0,0,0,0,0,0,27,0,4.71709E+19,0,60858216715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0xb53e95a4b7c5e15a790df3a66709b2e9f1cf9e3f,10729677.86,2902428.182,76273176,8,12,0,12,8,1.00E+16,7.40633E+18,1.50369E+15,1.80614E+16,9.40E+18,5.56657E+15,0,0,0,20,4.45326E+16,1.80443E+16,0,5.4687E+17,5,1.337E+18,0,4.01E+18,0,1,2,0,0,12212185.33,1.337E+18,1.337E+18,0,0,0,0,0,1,0,brief.blockwell.ai
7,0xb547027a4ccd46ec98199fa88aaedf5aa981db26,0,2930.484878,9108891,0,3109,1,271,0,0,1.2E+19,3216468317787,0,0,0,0,0,0,3154,0,1E+16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0xb5590ce74a6efaef0a9080dd2c5e66ce3e143103,75417.57742,994705.913,23380196,311,24,0,11,5,1.50E+16,5E+17,1.25E+16,0,2.52E+17,0,0,0,0,349,0,3E+17,0,350346366505165320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0xb5B964b89c2D4CA339EAB6a03C97eee9b6eACc7C,0,231514.0769,3009683,0,14,0,4,0,0,6.15529E+17,3.99558E+15,0,0,0,0,0,0,15,0,5.59381E+16,0,0,9,0,0,1.39E+21,0,0,8,0,0,7922.625,0,0,0,0,0,0,0,0,0,0
